station,catchment,zone,sample_date,year,month,season,ec_us_cm,total_n_mg_l,nox_n_mg_l,total_p_mg_l,reactive_p_mg_l,tss_mg_l,turbidity_ntu,do_sat_pct,ph,risk_score,high_concern,turbidity_ntu_bad,tss_mg_l_bad,total_n_mg_l_bad,total_p_mg_l_bad,do_sat_pct_bad,next_month_high_concern
CLARENCE RIVER AT LILYDALE BRIDGE,Clarence,North Coast,2016-10-25 14:12:00,2016,10,spring,130.0,0.48,0.01,0.02,0.005,10.0,2.1,127.0,8.9,0,0.0,0,0,0,0,0,0.0
OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,2016-10-26 08:04:00,2016,10,spring,190.0,0.2,0.01,0.04,0.018,10.0,3.4,91.0,7.6,0,0.0,0,0,0,0,0,0.0
RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,2016-10-26 09:29:00,2016,10,spring,250.0,0.19,0.01,0.077,0.06,10.0,3.0,97.0,7.7,0,0.0,0,0,0,0,0,0.0
RICHMOND RIVER AT CASINO,Richmond,Far North Coast,2016-10-26 10:21:00,2016,10,spring,350.0,0.22,0.01,0.088,0.068,10.0,5.7,112.0,8.3,0,0.0,0,0,0,0,0,0.0
CLARENCE RIVER AT PADDYS FLAT,Clarence,North Coast,2016-10-26 11:59:00,2016,10,spring,250.0,0.47,0.01,0.01,0.005,10.0,2.9,110.0,8.3,0,0.0,0,0,0,0,0,0.0
CLYDE RIVER AT BROOMAN,Clyde,South Coast,2016-11-01 12:24:00,2016,11,spring,93.0,0.2,0.02,0.01,0.005,10.0,1.0,86.2,7.0,0,0.0,0,0,0,0,0,0.0
DEUA RIVER AT RIVERVIEW,Moruya,South Coast,2016-11-01 14:16:00,2016,11,spring,130.0,0.1,0.02,0.01,0.005,10.0,0.9,88.4,7.4,0,0.0,0,0,0,0,0,0.0
TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,2016-11-01 15:28:00,2016,11,spring,91.0,0.1,0.04,0.01,0.005,10.0,1.3,94.6,7.4,0,0.0,0,0,0,0,0,0.0
BROGO RIVER AT ANGLEDALE,Bega,South Coast,2016-11-02 07:27:00,2016,11,spring,150.0,0.14,0.03,0.02,0.005,10.0,1.3,80.6,7.3,0,0.0,0,0,0,0,0,0.0
BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,2016-11-02 08:46:00,2016,11,spring,140.0,0.22,0.11,0.01,0.005,10.0,2.7,98.3,8.0,0,0.0,0,0,0,0,0,0.0
TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,2016-11-02 10:58:00,2016,11,spring,170.0,0.24,0.02,0.01,0.005,10.0,1.0,91.6,7.6,0,0.0,0,0,0,0,0,0.0
